"","Means","Location","People","Error"
"368","Other","South Carolina",28233,3587
"369","Worked From Home","South Carolina",271555,12139
"370","Total","South Dakota",445606,6101
"371","Car","South Dakota",373746,5989
"372","Public Transportation","South Dakota",1867,750
"373","Taxi","South Dakota",449,376
"374","Motorcycle","South Dakota",519,345
"375","Bicycle","South Dakota",1352,810
"376","Walked","South Dakota",14332,1975
"377","Other","South Dakota",3947,1308
"378","Worked From Home","South Dakota",49394,3394
"379","Total","Tennessee",3194798,22879
"380","Car","Tennessee",2661533,23579
"381","Public Transportation","Tennessee",11376,2519
"382","Taxi","Tennessee",4022,1507
"383","Motorcycle","Tennessee",1317,637
"384","Bicycle","Tennessee",3181,1013
"385","Walked","Tennessee",36440,3803
"386","Other","Tennessee",30278,3796
"387","Worked From Home","Tennessee",446651,14745
"388","Total","Texas",13635342,45038
"389","Car","Texas",10888163,52667
"390","Public Transportation","Texas",102764,8046
"391","Taxi","Texas",13757,2926
"392","Motorcycle","Texas",11466,2150
"393","Bicycle","Texas",29342,4296
"394","Walked","Texas",180039,8471
"395","Other","Texas",191519,11767
"396","Worked From Home","Texas",2218292,31392
"397","Total","Utah",1633712,12258
"398","Car","Utah",1228140,14088
"399","Public Transportation","Utah",21749,2575
"400","Taxi","Utah",991,563
"401","Motorcycle","Utah",3599,1065
"402","Bicycle","Utah",9367,1830
"403","Walked","Utah",30560,3055
"404","Other","Utah",11972,1800
"405","Worked From Home","Utah",327334,9478
"406","Total","Vermont",327910,4771
"407","Car","Vermont",244367,5072
"408","Public Transportation","Vermont",1704,767
"409","Taxi","Vermont",11,22
"410","Motorcycle","Vermont",198,242
"411","Bicycle","Vermont",1780,658
"412","Walked","Vermont",12881,1777
"413","Other","Vermont",2742,983
"414","Worked From Home","Vermont",64227,3790
"415","Total","Virginia",4262832,19982
"416","Car","Virginia",3096900,17740
"417","Public Transportation","Virginia",62920,4836
"418","Taxi","Virginia",5347,1357
"419","Motorcycle","Virginia",5363,1214
"420","Bicycle","Virginia",10612,1893
"421","Walked","Virginia",86385,5623
"422","Other","Virginia",45141,3801
"423","Worked From Home","Virginia",950164,14262
"424","Total","Washington",3668157,17974
"425","Car","Washington",2532641,18850
"426","Public Transportation","Washington",77898,5160
"427","Taxi","Washington",2939,1119
"428","Motorcycle","Washington",6507,1621
"429","Bicycle","Washington",20669,2455
"430","Walked","Washington",102305,6798
"431","Other","Washington",37654,4422
"432","Worked From Home","Washington",887544,14592
"433","Total","West Virginia",707299,9920
"434","Car","West Virginia",608073,11072
"435","Public Transportation","West Virginia",2528,797
"436","Taxi","West Virginia",421,319
"437","Motorcycle","West Virginia",261,311
"438","Bicycle","West Virginia",1317,807
"439","Walked","West Virginia",15100,2524
"440","Other","West Virginia",7330,1680
"441","Worked From Home","West Virginia",72269,4888
"442","Total","Wisconsin",2945351,13460
"443","Car","Wisconsin",2354325,15292
"444","Public Transportation","Wisconsin",25306,2939
"445","Taxi","Wisconsin",4502,1356
"446","Motorcycle","Wisconsin",3422,979
"447","Bicycle","Wisconsin",14038,1737
"448","Walked","Wisconsin",78779,4510
"449","Other","Wisconsin",27684,2952
"450","Worked From Home","Wisconsin",437295,9398
"451","Total","Wyoming",283628,5406
"452","Car","Wyoming",241424,5580
"453","Public Transportation","Wyoming",2252,829
"454","Taxi","Wyoming",0,208
"455","Motorcycle","Wyoming",290,217
"456","Bicycle","Wyoming",2130,793
"457","Walked","Wyoming",9520,1500
"458","Other","Wyoming",2630,1053
"459","Worked From Home","Wyoming",25382,2983
"460","Total","Puerto Rico",1055607,15745
"461","Car","Puerto Rico",928539,16944
"462","Public Transportation","Puerto Rico",7914,1656
"463","Taxi","Puerto Rico",1726,940
"464","Motorcycle","Puerto Rico",532,385
"465","Bicycle","Puerto Rico",923,541
"466","Walked","Puerto Rico",26107,2842
"467","Other","Puerto Rico",11533,2322
"468","Worked From Home","Puerto Rico",78333,5882
"469","Total","United States",154314179,151398
"470","Car","United States",116668475,149726
"471","Public Transportation","United States",3793329,36923
"472","Taxi","United States",296457,11839
"473","Motorcycle","United States",166676,7927
"474","Bicycle","United States",616153,16425
"475","Walked","United States",3399405,37071
"476","Other","United States",1805586,31124
"477","Worked From Home","United States",27568098,105493
